created_at,entry_id,field1,field2,field3,field4,field5,field6
2019-02-20 09:51:10 UTC,228,0.0,22.2,383.0,2.0,0.0,
2019-02-20 10:01:09 UTC,229,0.0,22.2,386.0,2.0,0.0,
2019-02-20 10:11:07 UTC,230,0.0,22.2,383.0,2.0,0.0,
2019-02-20 10:21:05 UTC,231,0.0,22.2,384.0,2.0,0.0,
2019-02-20 10:31:03 UTC,232,0.0,22.15,384.0,2.0,0.0,
2019-02-20 10:41:02 UTC,233,0.0,22.15,386.0,2.0,0.0,
2019-02-20 10:51:00 UTC,234,0.0,22.15,388.0,2.0,0.0,
2019-02-20 11:00:58 UTC,235,0.0,22.09,385.0,2.0,0.0,
2019-02-20 11:10:56 UTC,236,0.0,22.15,384.0,2.0,0.0,
2019-02-20 11:20:54 UTC,237,0.0,22.09,385.0,2.0,0.0,
2019-02-20 11:30:53 UTC,238,15.0,22.09,387.0,2.0,0.0,
2019-02-20 11:40:51 UTC,239,11.0,22.09,384.0,2.0,0.0,
2019-02-20 11:50:49 UTC,240,32.0,22.09,386.0,2.0,0.0,
2019-02-20 12:00:47 UTC,241,39.0,22.09,384.0,2.0,0.0,
2019-02-20 12:10:45 UTC,242,33.0,22.04,387.0,2.0,0.0,
2019-02-20 12:20:43 UTC,243,61.0,22.04,387.0,2.0,0.0,
2019-02-20 12:30:42 UTC,244,99.0,22.04,384.0,2.0,0.0,
2019-02-20 12:40:40 UTC,245,124.0,22.04,386.0,2.0,0.0,
2019-02-20 12:50:38 UTC,246,116.0,22.09,385.0,2.0,0.0,
2019-02-20 13:00:37 UTC,247,104.0,22.15,386.0,2.0,0.0,
2019-02-20 13:10:35 UTC,248,107.0,22.15,384.0,2.0,0.0,
2019-02-20 13:20:33 UTC,249,112.0,22.2,383.0,2.0,0.0,
2019-02-20 13:30:31 UTC,250,112.0,22.25,389.0,2.0,0.0,
2019-02-20 13:40:30 UTC,251,108.0,22.25,388.0,2.0,0.0,
