created_at,field1,field2,field3,field4,field5,Time
2018-11-03 22:19:22 UTC,31.0,24.04,378.0,2.0,0.0,03/11/18 17:19:22
2018-11-03 22:29:07 UTC,6.0,23.98,378.0,2.0,0.0,03/11/18 17:29:07
2018-11-03 22:38:52 UTC,0.0,23.93,379.0,2.0,0.0,03/11/18 17:38:52
2018-11-03 22:48:37 UTC,0.0,23.88,379.0,2.0,0.0,03/11/18 17:48:37
2018-11-03 22:58:23 UTC,0.0,23.82,382.0,2.0,0.0,03/11/18 17:58:23
2018-11-03 23:08:08 UTC,0.0,23.77,378.0,2.0,0.0,03/11/18 18:08:08
2018-11-03 23:17:53 UTC,0.0,23.77,378.0,2.0,0.0,03/11/18 18:17:53
2018-11-03 23:27:38 UTC,0.0,23.71,378.0,2.0,0.0,03/11/18 18:27:38
2018-11-03 23:37:24 UTC,0.0,23.66,378.0,2.0,0.0,03/11/18 18:37:24
2018-11-03 23:47:08 UTC,0.0,23.66,378.0,2.0,0.0,03/11/18 18:47:08
2018-11-03 23:56:54 UTC,0.0,23.61,378.0,2.0,0.0,03/11/18 18:56:54
2018-11-04 00:06:39 UTC,0.0,23.55,378.0,2.0,0.0,03/11/18 19:06:39
2018-11-04 00:16:24 UTC,0.0,23.5,378.0,2.0,0.0,03/11/18 19:16:24
2018-11-04 00:26:09 UTC,0.0,23.5,379.0,2.0,0.0,03/11/18 19:26:09
2018-11-04 00:35:54 UTC,0.0,23.44,379.0,2.0,0.0,03/11/18 19:35:54
2018-11-04 00:45:38 UTC,0.0,23.39,379.0,2.0,0.0,03/11/18 19:45:38
2018-11-04 00:55:23 UTC,0.0,23.39,378.0,2.0,0.0,03/11/18 19:55:23
2018-11-04 01:05:08 UTC,0.0,23.34,379.0,2.0,0.0,03/11/18 20:05:08
2018-11-04 01:14:53 UTC,0.0,23.28,382.0,2.0,0.0,03/11/18 20:14:53
2018-11-04 01:24:38 UTC,0.0,23.28,383.0,2.0,0.0,03/11/18 20:24:38
2018-11-04 01:34:23 UTC,0.0,23.23,379.0,2.0,0.0,03/11/18 20:34:23
2018-11-04 01:44:08 UTC,0.0,23.17,379.0,2.0,0.0,03/11/18 20:44:08
2018-11-04 01:53:53 UTC,0.0,23.12,379.0,2.0,0.0,03/11/18 20:53:53
2018-11-04 02:03:37 UTC,0.0,23.12,380.0,2.0,0.0,03/11/18 21:03:37
2018-11-04 02:13:22 UTC,0.0,23.07,379.0,2.0,0.0,03/11/18 21:13:22
2018-11-04 02:23:07 UTC,0.0,23.01,380.0,2.0,0.0,03/11/18 21:23:07
2018-11-04 02:32:52 UTC,0.0,22.96,381.0,2.0,0.0,03/11/18 21:32:52
2018-11-04 02:42:36 UTC,0.0,22.9,379.0,2.0,0.0,03/11/18 21:42:36
2018-11-04 02:52:21 UTC,0.0,22.85,380.0,2.0,0.0,03/11/18 21:52:21
2018-11-04 03:02:06 UTC,0.0,22.8,380.0,2.0,0.0,03/11/18 22:02:06
2018-11-04 03:11:51 UTC,0.0,22.74,378.0,2.0,0.0,03/11/18 22:11:51
2018-11-04 03:21:35 UTC,0.0,22.69,378.0,2.0,0.0,03/11/18 22:21:35
2018-11-04 03:31:20 UTC,0.0,22.69,379.0,2.0,0.0,03/11/18 22:31:20
2018-11-04 03:41:05 UTC,0.0,22.63,379.0,2.0,0.0,03/11/18 22:41:05
2018-11-04 03:50:49 UTC,0.0,22.58,380.0,2.0,0.0,03/11/18 22:50:49
2018-11-04 04:00:34 UTC,0.0,22.58,379.0,2.0,0.0,03/11/18 23:00:34
2018-11-04 04:10:18 UTC,0.0,22.47,380.0,2.0,0.0,03/11/18 23:10:18
2018-11-04 04:20:03 UTC,0.0,22.42,380.0,2.0,0.0,03/11/18 23:20:03
2018-11-04 04:29:48 UTC,0.0,22.42,381.0,2.0,0.0,03/11/18 23:29:48
2018-11-04 04:39:32 UTC,0.0,22.42,381.0,2.0,0.0,03/11/18 23:39:32
2018-11-04 04:49:17 UTC,0.0,22.36,381.0,2.0,0.0,03/11/18 23:49:17
2018-11-04 04:59:01 UTC,0.0,22.36,381.0,2.0,0.0,03/11/18 23:59:01
